epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4086.6,1.36388,1.60154,1.1246,0.93975,0.58675,0.62993,0.38817,1.26865,1.00875,1.09039,0.000369127,0.000369127,0.000369127
2,7892.6,1.28319,0.95971,1.08933,0.94223,0.59513,0.63236,0.40617,1.24858,0.82344,1.11041,0.000710178,0.000710178,0.000710178
3,23156,1.2801,0.87259,1.09107,0.94082,0.57686,0.62887,0.41377,1.22041,0.74915,1.09292,0.0010219,0.0010219,0.0010219
4,27038.4,1.26377,0.80769,1.09038,0.93603,0.57589,0.63083,0.40578,1.24214,0.74786,1.09569,0.000979013,0.000979013,0.000979013
5,31013,1.24653,0.75629,1.08614,0.93735,0.60253,0.64356,0.42785,1.20615,0.66627,1.09343,0.000935018,0.000935018,0.000935018
6,36128.5,1.21251,0.72364,1.0683,0.93993,0.58519,0.62921,0.41482,1.21806,0.69417,1.09635,0.000891022,0.000891022,0.000891022
7,40767.3,1.20891,0.69809,1.06596,0.94939,0.5984,0.64368,0.43403,1.18913,0.61881,1.07997,0.000847026,0.000847026,0.000847026
8,46197.1,1.20188,0.68404,1.0643,0.95564,0.59662,0.64531,0.43037,1.21188,0.61466,1.09109,0.000803031,0.000803031,0.000803031
9,53536.6,1.19871,0.67816,1.06633,0.95163,0.6102,0.64266,0.4261,1.18927,0.59929,1.08331,0.000759035,0.000759035,0.000759035
10,57165.7,1.18939,0.65493,1.05813,0.94803,0.60308,0.64647,0.43915,1.15964,0.58888,1.07188,0.00071504,0.00071504,0.00071504
11,61597.5,1.18131,0.64814,1.06113,0.94937,0.61134,0.64716,0.43697,1.18615,0.58586,1.0828,0.000671044,0.000671044,0.000671044
12,65162.9,1.17187,0.63847,1.05647,0.95166,0.60822,0.64968,0.44131,1.15939,0.57699,1.06826,0.000627048,0.000627048,0.000627048
13,68765.2,1.16176,0.62591,1.0467,0.95163,0.60756,0.64673,0.44414,1.16068,0.57281,1.07133,0.000583053,0.000583053,0.000583053
14,72336.4,1.14867,0.61319,1.04313,0.96007,0.61154,0.65046,0.4435,1.17102,0.55071,1.0739,0.000539057,0.000539057,0.000539057
15,75870,1.14555,0.60244,1.04467,0.95585,0.61401,0.65237,0.44732,1.1517,0.53749,1.06881,0.000495062,0.000495062,0.000495062
16,79551.4,1.13,0.55406,1.04938,0.95488,0.61491,0.651,0.44782,1.15081,0.54453,1.06267,0.000451066,0.000451066,0.000451066
17,83396.9,1.12304,0.54417,1.04531,0.95482,0.61516,0.65374,0.45248,1.15052,0.54177,1.06224,0.00040707,0.00040707,0.00040707
18,87351.5,1.11304,0.5295,1.04045,0.95709,0.61366,0.6513,0.45056,1.1427,0.53298,1.06256,0.000363075,0.000363075,0.000363075
19,91011,1.10029,0.52175,1.03532,0.96013,0.61808,0.65463,0.45465,1.1349,0.52215,1.06198,0.000319079,0.000319079,0.000319079
20,94634.2,1.08921,0.51506,1.03052,0.96019,0.6176,0.65647,0.45587,1.13477,0.51832,1.05806,0.000275084,0.000275084,0.000275084
21,98362.4,1.08449,0.50491,1.02557,0.95739,0.62062,0.65412,0.45615,1.12977,0.51527,1.05557,0.000231088,0.000231088,0.000231088
22,104234,1.07338,0.49476,1.0201,0.95883,0.61534,0.65633,0.45725,1.11972,0.51392,1.0488,0.000187092,0.000187092,0.000187092
23,107743,1.06153,0.48527,1.01406,0.96076,0.61605,0.65453,0.46064,1.11522,0.50551,1.04902,0.000143097,0.000143097,0.000143097
24,111403,1.05012,0.47473,1.0117,0.96045,0.6172,0.65461,0.46,1.11584,0.50191,1.04751,9.91012e-05,9.91012e-05,9.91012e-05
25,115164,1.0378,0.4683,1.00529,0.96068,0.6199,0.65855,0.46365,1.11323,0.49866,1.04635,5.51056e-05,5.51056e-05,5.51056e-05
